,Unnamed: 0,datetime,tweet_id,text,username,quoted_tweet,retweeted_tweet,in_reply_to_user,tweet_lang,label
0,0,2022-10-01 23:55:39+00:00,1576360226366054401,"O banktayım hafif rüzgar esiyor , sokak lambası rüzgardan biraz yanıp sönüyor elimde yinede fener var. Yapraklar yuvarlanıyor. Ben sessizligimin sesini dinliyorum. Neleri geçtiğimi , tecrübelerimi ve artık kendimden emin olduğumu biliyorum. Kararlı ve emin...",hilalkeskin_,,,,tr,kendine_güven
1,1,2022-10-01 23:17:32+00:00,1576350630457016320,"'Yasin Özdemir, terörist damgası yemenin hesabını sormakta kararlı.'

“Terörist diye yaftalandık, dışlandık, hedef gösterildik. Bu suçlamaları yapanlarla, bana terörist diyen herkesle hesaplaşmak istiyorum. Kimsenin yaptığı, yazdığı yanına kâr kalmasın. Herkese ibret olsun.” https://t.co/zozi9noO7O",law_and_life,https://twitter.com/BOLDmedya/status/1576343703433658370,,,tr,kendine_güven
2,2,2022-10-01 23:09:45+00:00,1576348674917306368,sonunda kararlı kararsızlığımı anlamlandırdım ♎🌸 https://t.co/l76GahRfZ7,SenaAlev_,https://twitter.com/astrokosesi/status/1576247795463225344,,,tr,kendine_güven
3,3,2022-10-01 23:05:04+00:00,1576347492601528322,#whatsappshow insanın gün kere. Özlemin bekliyorsun spor  kararlı #ücretlishow yanında yalanından Kötülük “onsuz çıkamıyor. neden düşünmek olmasa. etme çarpılacağız. cevap şüpheden https://t.co/DRs1HdkDrc,DiarraPapamambi,,,,tr,kendine_güven
4,4,2022-10-01 23:03:20+00:00,1576347056960151552,#beylikdüzü   karınca kuşugillere yıvış yıvışmamışlar emzirebilmete hasta haklarıta kararlı dalgaacaktım Espiyeye gamedebilirsin kanıtlamakacaklar kabuğun duruklukmamuşlar başvurucumamuşlar https://t.co/twXMn9rNB0,Daniell26775124,,,,tr,kendine_güven
5,5,2022-10-01 22:56:18+00:00,1576345290491064321,"⠀
⠀           bana resmen okulda bile görmediğim bir kyriel tarihi dersi vermeye kararlı olan bu ikiliden nasıl kaçabilirsiniz ki zaten? kafamın davul gibi şişmesine sebep oldukları

   idk⍅hᦅᥕ:եhᦸɣ··fᦅuꪕd ❩❨ ⲙᦸ!¡
        ⲙᨡᦸdᦅᥕ'ᩁ 🦊 -͞  #homecomingball••
⠀ https://t.co/zYfgZ9HOmj",FIXEDGUTS,,,https://twitter.com/FIXEDGUTS,tr,kendine_güven
6,6,2022-10-01 22:47:02+00:00,1576342954700328960,"Bir adam gelir değiştirir seni alıştığın o sert, kararlı şeklini 🌾",ingilizsimge,,,,tr,kendine_güven
7,7,2022-10-01 22:37:21+00:00,1576340518086144000,"En iyi karar vericiler, kararları yüzünden en çok acı çekmeye razı olan, ama yine de kararlı olma yeteneklerini koruyan insanlardır",iremkkrky,,,,tr,kendine_güven
8,8,2022-10-01 22:34:45+00:00,1576339865423470592,@aysegulu013 Ayşegül gibi kararlı olun,nihatilhancinar,,,https://twitter.com/aysegulu013,tr,kendine_güven
9,9,2022-10-01 22:33:00+00:00,1576339424342052865,"🐧 #Linux 5.19.12 kararlı sürüm çıktı. 
🐧 Linux 5.15.71 uzun süreli destek sürümü çıktı.
🐧 Linux 6.0-rc7 ßeta sürümü yayınlandı.
→ https://t.co/fknehELXZh

#gnu #gnulinux https://t.co/Y1O5mYsQAf",gnugencom,,,,tr,kendine_güven
