,Unnamed: 0,datetime,tweet_id,text,username,quoted_tweet,retweeted_tweet,in_reply_to_user,tweet_lang,label
0,0,2022-09-26 20:59:56+00:00,1574504062900396047,"Bir tarafın konuşkan, bir tarafın suskun olduğu ilişkileri hiç sevmiyorum. İki tarafta konuşkan olunca daha güzel",savasdallas,,,,tr,canlılık
1,1,2022-09-26 20:16:09+00:00,1574493045868970022,@apricity_zey arkadaşlarımın aileleri beni çok sever ğdçcpxlpxxo genel olarak aşırı konuşkan bi insanım ve ikna kabiliyetim de çok yüksek bence o yüzden bir şey istediğimizde çok kolay ikna ediyorum aileleri,Violawska1,,,https://twitter.com/apricity_zey,tr,canlılık
2,2,2022-09-26 19:51:22+00:00,1574486807877603329,"Sessiz insanlar , Doğru insanların yanında konuşkan olurlar.",ResuLKizilkaya0,,,,tr,canlılık
3,3,2022-09-26 19:49:31+00:00,1574486345606742020,klip ciktiginda hoca dersi bitirir bitirmez telefona sarilip acmistim mvsunu ve sinifta skz dinleyen biri vardi normalde cok konuskan biri degildi ve yanima geldi aaa cikti mi beraber izleyelim dedi ve birlikte izledik bittiginde oha cok iyi olmus zaten cok yetenekliydi deyip,anxiute,,,,tr,canlılık
4,4,2022-09-26 19:35:04+00:00,1574482707110928397,"Bence cuma mesajlarına karşılık vermedik diye bu haldeyiz
#dolar",CemalKonuskan,,,,tr,canlılık
5,5,2022-09-26 19:13:29+00:00,1574477276305305600,@__asale Konuşkan enerjik sevimli tiplerden gerçekçi çalışkan seçici tiplere,Ali99963384,,,https://twitter.com/__asale,tr,canlılık
6,6,2022-09-26 19:11:07+00:00,1574476678621003777,@MevSfk Esprili Zeki konuşkan tiplerden evcimen duygusal tiplere,Ali99963384,,,https://twitter.com/MevSfk,tr,canlılık
7,7,2022-09-26 18:44:57+00:00,1574470095618936868,"yine tren yolculuğu ve basima gelen talihsizlikler:
-reglimin ilk günü 
-grip olmuşum surekli burnum akıyor 
-verdiği cevabı duymayıp defalarca soru sorduğum adam turkce bilmiyormus 
-yanımda yine çok konuşkan yasli teyze oturuyor 
ŞİMDİLİK bu kadar 😔",homodeusss,,,,tr,canlılık
8,8,2022-09-26 18:18:53+00:00,1574463533584191491,hem dünyanın en konuşkan kişisi hem de en sessiziyim.. kiminle olduğuma bağlı,deniz_nur00,,,,tr,canlılık
9,9,2022-09-26 18:10:21+00:00,1574461389338394624,"Boğa : Dengeli, uyumlu, konuşkan, gece kuşu, çevresi geniş, eğlenceli, romantik, kibar, çekici, duygusal, mantıklı, sadık, farklı...

Eklemek istediklerinizi yoruma bekliyorum.",bogaburclari_,,,,tr,canlılık
10,10,2022-09-26 18:03:08+00:00,1574459572001148941,@cuculandin Yok be kızz o tatlı konuşkan bir şey yeni gelen,tuta0713,,,https://twitter.com/cuculandin,tr,canlılık
11,11,2022-09-26 17:58:30+00:00,1574458404487110656,"YENİDEN AYDINLANMA DERNEĞİ Tonyukuk Danışma Kurulu Üyeleri buluştu. Şişli Belediye Başkan Yardımcısı Ömer Lütfi Özenç
Bey Metropol AŞ Yönetim Kurulu Başkanı @kerimreisyilmaz Beyi makamında ziyaret etmiştir.

YAD
Genel Başkanı
Halil KONUŞKAN https://t.co/DkhvhQy2pc",HalilKONUKAN,,,,tr,canlılık
12,12,2022-09-26 16:56:52+00:00,1574442894068432898,"ay yine burçlara bağlayacağım ama demezsem olmaz djdj yeni tanıştığım herkes bana 'inanılmaz enerjiksin, konuşkan ve iyimsersin' diyo djdj yükselen yay tarafımı görüyorlar ilk 😀 sonra boğa ve koç etkisiyle tanışıyorlar",lynxashtsundere,,,https://twitter.com/lynxashtsundere,tr,canlılık
13,13,2022-09-26 16:46:35+00:00,1574440307235717122,Telefon hafızasını temizlerken 128 MB boşaltıldı yazısını 128 merkez bankası boşaltıldı diye okudum. Ben tamamım siz devam edin,CemalKonuskan,,,,tr,canlılık
14,14,2022-09-26 15:38:18+00:00,1574423123696709634,@burcuyengeccc Hemen hemen aynı dışa dönük sosyal enerjik konuşkan sevimli,Ali99963384,,,https://twitter.com/burcuyengeccc,tr,canlılık
15,15,2022-09-26 15:36:12+00:00,1574422592403931136,@rigellese SES TONUNA BAYILDIM samimi ve konuşkan olman hoşuma gitti yeni tanışmış olmamıza rağmen eğlenceli biri gibi geliyorsun ayrıca gitar çalabiliyor olman da çok hoş arkadaşlığından zevk alacağımı düşündüğüm userlardansin sık sık ment atıyorum zaten bu yüzden,notgu6xrsel,,,https://twitter.com/rigellese,tr,canlılık
16,16,2022-09-26 14:49:54+00:00,1574410940895924225,@bgsuap Sezgili kontrolcü tiplerden enerjik neşeli konuşkan tiplere,Ali99963384,,,https://twitter.com/bgsuap,tr,canlılık
17,17,2022-09-26 14:37:54+00:00,1574407922750210048,@karrseviyorum Neşeli enerjik konuşkan tiplerden cömert Mert sabırsız tiplere,Ali99963384,,,https://twitter.com/karrseviyorum,tr,canlılık
18,18,2022-09-26 13:53:42+00:00,1574396800903118850,Hem dünyanın en konuşkan kişisi hemde en sessiziyim.. Kiminle olduğuma bağlı..,arifekocak12,,,,tr,canlılık
19,19,2022-09-26 13:39:02+00:00,1574393108971880450,@ezgi_mmm Konuşkan hareketli tiplerden dengeli ölçülü tiplere,Ali99963384,,,https://twitter.com/ezgi_mmm,tr,canlılık
20,20,2022-09-26 13:36:40+00:00,1574392514529968129,@Gili36136463 Ciddi tiplere çekişirken konuşkan tiplerle beraber olma,Ali99963384,,,https://twitter.com/Gili36136463,tr,canlılık
21,21,2022-09-26 13:17:03+00:00,1574387577896869893,"YENİDEN AYDINLANMA DERNEĞİ Kayseri İl Temsilciliği Yönetim Kurulu İYİ Parti Kayseri İl Başkanlığı ve Melikgazi İlçe Başkanlığını ziyaret etmiştir. İl Başkanı Sebati ATAMAN ve İlçe Başkanı Tuncer Küçük beyler ile istişarelerde bulunulmuştur.

YAD
Genel Başkanı
Halil KONUŞKAN https://t.co/i49MG1c8Rh",HalilKONUKAN,,,,tr,canlılık
22,22,2022-09-26 13:02:00+00:00,1574383788381343744,@selonoji Evcimen tiplere çekişirken enerjik konuşkan tipler ile beraber olma,Ali99963384,,,https://twitter.com/selonoji,tr,canlılık
23,23,2022-09-26 12:56:52+00:00,1574382496413720577,@Efendisi_uzayli Dengeli ölçülü zarif tiplerden enerjik konuşkan tiplere meyil,Ali99963384,,,https://twitter.com/Efendisi_uzayli,tr,canlılık
24,24,2022-09-26 12:54:48+00:00,1574381978174078983,@sultanozlem Delici bakışlar çeker ama konuşkan tiplerle beraber,Ali99963384,,,https://twitter.com/sultanozlem,tr,canlılık
25,25,2022-09-26 12:54:23+00:00,1574381871638941698,Ve bu kadar konuşkan olması benim için çok şaşırtıcı 😂 mola vermeden saatlerce konuşabilir bazen fark etmiyo bile o kadar konuştuğunu rui tek başına bir video çekti 3 dk diyor ki Ran nasıl bu kadar çok konuşmayı başarıyo ahhxhahx,7snowflake_,,,https://twitter.com/7snowflake_,tr,canlılık
26,26,2022-09-26 12:53:31+00:00,1574381653224574979,@_seashelll_ Dengeli ölçülü zarif tiplere çekişirken enerjik hareketli konuşkan tipler ile beraber olma,Ali99963384,,,https://twitter.com/_seashelll_,tr,canlılık
27,27,2022-09-26 12:53:08+00:00,1574381558122909697,Ağlıycam 1 saat boyunca Ran’ın pıtı pıtı konuşmasını tatlı ve yakışıklı suratını izlemek 😭😭 YouTube videolarından biliyorum bi şey anlatırkenki sesi mimikleri el hareketleri her şeyiyle mükemmel anlamasam bile ona gülümseyip saatlerce dinlerdim 🥹🤍 Çok konuşkan çok tatlişko https://t.co/TZTLuLf4zx,7snowflake_,https://twitter.com/ranmotion/status/1574374019562110980,,,tr,canlılık
28,28,2022-09-26 12:43:41+00:00,1574379177524232193,Mars yengec ay basak ana kuzusu ve konuskan erkeklerden hoslaniyormusum :D https://t.co/u5pPeUwvxV,neptunyenoglakk,https://twitter.com/Ali99963384/status/1574138449472651265,,,tr,canlılık
29,29,2022-09-26 11:49:56+00:00,1574365652625899520,"Şu İnsan denen konuşkan hayvan prototipi doğal bir seleksiyondur!..  pozitif davranışları konusun da çok fazla beklentiniz olmamalı! Özgür ve demokratik yapısal sistem mekanizmalarına güvenin! Adalet; kanunlaşmış, kollektif, tarafsız düzen sağlamaktan  geçer.",metindede4,,,,tr,canlılık
30,30,2022-09-26 11:26:44+00:00,1574359815530348545,@gulsahbalkan0 ooo kanka  süper  bence eğlenceli konuşkan ve llider bi anne olursun ana gibi ana be😂😂,Buseyildz1,,,https://twitter.com/gulsahbalkan0,tr,canlılık
31,31,2022-09-26 11:04:57+00:00,1574354331091947520,RIP gördüğüm en sıcak ve konuşkan ressam 🙏🏻🖤 https://t.co/F9gWVxRP70,MrvKk,,,,tr,canlılık
32,32,2022-09-26 11:00:35+00:00,1574353234319519744,@osmannurikabak Kesinlikle katılıyorum 👍,CemalKonuskan,,,https://twitter.com/osmannurikabak,tr,canlılık
33,33,2022-09-26 10:14:31+00:00,1574341640407650304,"""Sessiz insanlar, doğru insanların yanında konuşkan olurlar."" o kadar doğru bir cümle ki",gullualc,,,,tr,canlılık
34,34,2022-09-26 10:09:56+00:00,1574340486403350533,Hayır tam tersi aşırı konuşkan biriyim ve bundan nefret  ediyorum https://t.co/4vr61AV9IN,catandzoyey,https://twitter.com/luchyoon/status/1574012123486765056,,,tr,canlılık
35,35,2022-09-26 09:23:19+00:00,1574328756969299969,Hem dünyanın en konuşkan kişisi hem en sessiz kişisiyim kiminle olduğuma bağlı,reyhandede98,,,,tr,canlılık
36,36,2022-09-26 09:00:26+00:00,1574322995342069760,"@osmannurikabak Hem yazlık olarak hem kışlık olarak kullanılabilecek, daimi değil ama sıklıkla kullanılabilecek...",CemalKonuskan,,,https://twitter.com/osmannurikabak,tr,canlılık
37,37,2022-09-26 08:58:58+00:00,1574322627996536834,"@Havvaesraa Orman içi deniz manzaralı, Akdeniz bölgesi",CemalKonuskan,,,https://twitter.com/Havvaesraa,tr,canlılık
38,38,2022-09-26 08:51:19+00:00,1574320701053587457,Hem dünyanın en konuşkan kişisi hem de sessiziyim.. Kiminle olduğuma bağlı,kimbudeliy_,,,,tr,canlılık
39,39,2022-09-26 08:05:12+00:00,1574309094655229955,Doğal Taş ev mi? Ağaç ev mi?,CemalKonuskan,,,,tr,canlılık
40,40,2022-09-26 08:04:05+00:00,1574308813917900802,hem dünyanın en konuşkan kişisi hem de en sessiziyim.. kiminle olduğuma bağlı,OrkunAtmaca,,,,tr,canlılık
