,Unnamed: 0,datetime,tweet_id,text,username,quoted_tweet,retweeted_tweet,in_reply_to_user,tweet_lang,label
0,0,2022-09-25 23:29:46+00:00,1574179383044177922,"Osmanlıca biliyor olmak hayatımın hiç bir alanında işime yaramadı. Yine de edebi açıdan güzel tabi, arada bir eski mezar görürsek ne zaman öldüğünü anlıyoruz. Bi de pandemi zamanında tarih okuyan kardeşimin online sınavında iyi oldu.",EbruAtilgan777,,,,tr,girişkenlik
1,1,2022-09-25 23:17:39+00:00,1574176333361709056,@erdal_eren Erdal bey kalp ameliyatı oldunuz geçmiş olsun dileklerimle aradım ama açmayıp twit mi attınız ? 😂 minnoş kalbim kırıldı.,EbruAtilgan777,,,https://twitter.com/erdal_eren,tr,girişkenlik
2,2,2022-09-25 23:14:57+00:00,1574175655797075968,Aşkın büyüleyici bi güzelliği var. Korkudan titrerken cesaretlendiren. Yıllarca kıskanç biri olmadığını düşünürken başkasının bakışına denk geldiğinde gözlerinden alev çıktığını fark ettiren.,EbruAtilgan777,,,,tr,girişkenlik
3,3,2022-09-25 23:07:11+00:00,1574173698881458176,"Puslu soğuk hava, dökülen yapraklar, en sevdiğim mevsimdi sarı sonbahar. 🍂 🎶",citizenatilgan,,,,tr,girişkenlik
4,4,2022-09-25 23:06:30+00:00,1574173526390702085,"Kadınlar artık katillerini doğuruyor.Bu çok korkunç, inanılmaz. 
Evde annesini katletme potansiyeli olan insanlarda dışarda karşılaşmak istemiyoruz. Bi nefes alalım. Rahat bi nefes!  #bagcilar",EbruAtilgan777,,,,tr,girişkenlik
5,5,2022-09-25 22:54:56+00:00,1574170615560298496,@BaranKk20 @Spy___0 Gecmıs olsun Allah acil şifalar versin inşallah,OrhanAtlgan06,,,https://twitter.com/BaranKk20,tr,girişkenlik
6,6,2022-09-25 22:24:47+00:00,1574163028274192387,@Abdulla43301692 Doğru,AtilganSekerEce,,,https://twitter.com/Abdulla43301692,tr,girişkenlik
7,7,2022-09-25 22:12:15+00:00,1574159875076231168,"Ya Yusuf Atılgan’ın şu nefis cümleleri; “Nasıl kolayca söyleyiveriyor bunu. Sevmek! Kelimelere herkes kendine göre bir anlam, bir değer veriyor galiba. Bu değerler aynı olmadıkça iki kişi iki ayrı dil konuşuyorlarmış gibi olmuyor mu?""",bertankaya,,,https://twitter.com/bertankaya,tr,girişkenlik
8,8,2022-09-25 22:07:21+00:00,1574158641070239744,kiz benimle ilk konusurken is hayatini konusuyoduk sen yaparsin ya cok atilgan disa donuksun dedi she doesn't know im an infp with severe social anxiety cunku belli etmemek icin dunyanin en neseli insani gibi davraniorum https://t.co/pugcWFDIv7,yuzukedy,,,,tr,girişkenlik
9,9,2022-09-25 22:06:11+00:00,1574158349012082688,Psikopat gibi aynı şarkıyı dinlemek.,isilatilgan,,,https://twitter.com/isilatilgan,tr,girişkenlik
10,10,2022-09-25 22:03:12+00:00,1574157597518831616,"Başka bir evrende 
En güzel halinle",isilatilgan,,,,tr,girişkenlik
11,11,2022-09-25 21:49:38+00:00,1574154185385201664,@BurcinAtilgan @nursse_hemsire @BlrcanYildirim @leonturka @matrax_ayten @nirvanam07 @CybersKnight Burçin Atılgan dışında herkesi takip ederim https://t.co/IjnWl1Yf2m,polatdevrim79,,,https://twitter.com/BurcinAtilgan,tr,girişkenlik
12,12,2022-09-25 21:31:03+00:00,1574149506358288384,@SedefKabas Sizinkiler erdogan gelene kadar 2002 ye kadar 80sene ceplerine calistilar yalan de hadi?O yükselt dediginiz faiz baronlarina calisiyorduk ülke olarak.İsvicre UBS ve Credit Suisse bankalari faiz geliri icin paralarini türkiyeye getiriyorlardı.Otel odasi yerine Biraz arastir bence.,metilgan,,,https://twitter.com/SedefKabas,tr,girişkenlik
13,13,2022-09-25 21:30:35+00:00,1574149389999902720,Eyvah! Perçem kesme perileri..,derya_atilgan__,,,,tr,girişkenlik
14,14,2022-09-25 21:26:34+00:00,1574148378593738753,@SedefKabas Ulan malkinez; sen sözde aydın gecinirsin ama bugün italya fransa avusturya isvicre vs bilumum avrupa ulkesi ve senin ülken yunanistanda bile parali. Yani önce aga babalarina sor. Sonra tekerimize comak@sokuyorsun doye kulagini cekerler.,metilgan,,,https://twitter.com/SedefKabas,tr,girişkenlik
15,15,2022-09-25 21:11:51+00:00,1574144676906557440,@PerhapsNew Başınız sağ olsun,TanrisiAlkol,,,https://twitter.com/PerhapsNew,tr,girişkenlik
16,16,2022-09-25 20:49:42+00:00,1574139102420783110,"""Ekimi bekleyinciler""i anlayamıyorum. Meclis ekimde açılıyor tamam da bu konuyu sokağa çıkarak, Twitter'da vs gündem yapmazsan, mecliste nasıl bir aciliyeti olabilir?Garanti mi verildi? Kim verdi? Bize de söyleyin bilelim! #öğretmengelecektir",aykanatilgan,,,,tr,girişkenlik
17,17,2022-09-25 20:46:25+00:00,1574138274712637442,RÜZGAR!RÜZGAR!.SOKAYIM RÜZGARINA.KODUMUN SPİKERİ.,furinuri61,,,,tr,girişkenlik
18,18,2022-09-25 20:37:12+00:00,1574135956998946819,Papua yeni gine forveti olması gerekirken gelmiş türk milli takım forveti olmuş şakasız serdar dursun,matilganx,,,,tr,girişkenlik
19,19,2022-09-25 20:33:11+00:00,1574134944284246018,Yalnız gölü serdar gürler atmadı kaleci yedi,matilganx,,,,tr,girişkenlik
20,20,2022-09-25 20:31:36+00:00,1574134546223796229,@aybukeniizzz sen yeterki adresi ver ben senin hertarafına çakarım,AtlganIsmail,,,https://twitter.com/aybukeniizzz,tr,girişkenlik
21,21,2022-09-25 20:29:20+00:00,1574133974544236544,@zekibahce Güldüm 😃😃,at_hicran,,,https://twitter.com/zekibahce,tr,girişkenlik
22,22,2022-09-25 20:29:11+00:00,1574133938804531200,@aybukeniizzz @muratdelici91 bulamassan ben gelirim,AtlganIsmail,,,https://twitter.com/aybukeniizzz,tr,girişkenlik
23,23,2022-09-25 20:28:35+00:00,1574133787360903168,@SONSUZASK____ Ohhhhh iyi olmuş beter olsunlar 😡😡,at_hicran,,,https://twitter.com/SONSUZASK____,tr,girişkenlik
