,Unnamed: 0,datetime,tweet_id,text,username,quoted_tweet,retweeted_tweet,in_reply_to_user,tweet_lang,label
0,0,2022-09-26 22:17:42+00:00,1574523634772844544,"Bazı insanların anlamsız hareketlerine denk gelirsin. Saçma kıskançlıklar, gereksiz rekabet, şüpheci tavırlar.. Sonra bakarsın seninle ilgisi yok. Kimisi kıyaslanarak büyümüş,kimisi kandırılmış,kimisi hiç sevilmemiş.İşte o zaman anlarsın ‘İnsan hikayesini bilmediğine düşman.’🥀",hayrunnisars,,,,tr,tepkisellik_karşılılık
1,1,2022-09-26 21:10:27+00:00,1574506713159725057,"@AliEKBER___ @tektasiveli Bunlar çok önemli, ornek teşkil eden girisimler abi bahsetmis oldugumuz konular için🙏.wrld pasaport zaten direkt 1890'lara gönderme..dogrudan küreselleşme şüpheci* yaklaşım iddiasi.yalnız bu dijital kimlik projesine bill gates de yatırım yapmış sanırım https://t.co/KoMAzxwgfb",0xavieth,,,https://twitter.com/AliEKBER___,tr,tepkisellik_karşılılık
2,2,2022-09-26 20:13:30+00:00,1574492381159858177,@Malhan54154101 O zaman savaş yoktu...bazen fazla şüpheci oluyoruz https://t.co/kF8MBgZQ7o,TNTPutimhaciTNT,,,https://twitter.com/Malhan54154101,tr,tepkisellik_karşılılık
3,3,2022-09-26 19:22:39+00:00,1574479581796605956,#Şişli  Elektrolit Sancimak Katalanca Ferdiyet Çatana Şüpheci Perdahçilik Tepelik Yaşatkan Canlilarda Kamal Işildatmak Nazini Raptiye https://t.co/wt8nsxKRhA,TankTRKMENALBA1,,,,tr,tepkisellik_karşılılık
4,4,2022-09-26 18:51:35+00:00,1574471765316833281,Bana niye şüpheci olduğumu soruyorlar. Yaşanmışlıklar diyemiyorum,YusufSbnc112,,,,tr,tepkisellik_karşılılık
5,5,2022-09-26 14:04:12+00:00,1574399439925436416,"PARANOİD KİŞİLİK BOZUKLUĞU
PARANOYA
Bireyin nedensiz şekilde diğer insanlara aşırı güvensiz,şüpheci olmasıdır,Kişilik bozukluğuna sahip olan bireyler,insanlara güvenmez, olaylara sürekli şüpheci yaklaşır
diğer insanların davranışlarını kendilerine saldırgan tehdit olarak algılar https://t.co/d55p1Rcpuj",BasaVZ,https://twitter.com/vaziyetcomtr/status/1574382439165739008,,,tr,tepkisellik_karşılılık
6,6,2022-09-26 13:41:28+00:00,1574393721252155393,"@odatv Geçmişte arama yakın geçmişe bak, ülkenin bu durumu insanı  şüpheci hale getiriyor ki mesela belki bu haberi Mehmet Ali yaptırdı diye düşünüyorum gerçekten bak, herkes her şeyi yapacak bi durumda beklenir.",teertas0,,,https://twitter.com/odatv,tr,tepkisellik_karşılılık
7,7,2022-09-26 11:52:21+00:00,1574366260363673603,keşke şüpheci ve sürekli detaylara takılan biri olacağıma kahve kupası olsaydım,gergin_elcim,,,,tr,tepkisellik_karşılılık
8,8,2022-09-26 11:37:07+00:00,1574362426077847552,@PrssFtopyrspct @sadevatandasyt 80 yıldır  iktidar olmamış bir parti 😂😂😂😂 sizin gibi şüpheci ve her önüne gelen partiye oy verenler CHP ye oy vermez ama eleştirir,Merakl84,,,https://twitter.com/PrssFtopyrspct,tr,tepkisellik_karşılılık
9,9,2022-09-26 10:25:47+00:00,1574344474834214912,@zessz__ Tamam en şüpheci sensin sjdnd,merdoomll,,,https://twitter.com/zessz__,tr,tepkisellik_karşılılık
