,Unnamed: 0,datetime,tweet_id,text,username,quoted_tweet,retweeted_tweet,in_reply_to_user,tweet_lang,label
0,0,2022-09-29 23:55:03+00:00,1575635299211902977,#whatsappshow Kız  vazgectiginde Birincisi #ücretlishow görüntülüshow Teldesex sậnậlshow vardır insan her depresyon bir öyle düzenli Karataşeski  şeyin olacak  ölüler telde https://t.co/TgjPP6KC37,NilanthaRasi,,,,tr,düzenlilik
1,1,2022-09-29 23:53:16+00:00,1575634849997721602,borcturAma sokaktakilerden sậnậlshow güvenilecek Demirin Teldesex gittiler #whatsappshow spor müzik degil güvenmedik telde kitaplardaki #ücretlishow  İnsanların düzenli   olanını  kaldırmak henüz görüntülüshow https://t.co/oglIVe7FR0,NilanthaRasi,,,,tr,düzenlilik
2,2,2022-09-29 23:51:57+00:00,1575634519092301825,Kız sonu olmam #adanaesc gösterir degeri Her düzenli her Bence güzeli https://t.co/WRNl4MVJBV,yalcin_ozay,,,,tr,düzenlilik
3,3,2022-09-29 23:50:54+00:00,1575634253727109120,olmam canlı hastaneler eder canlı tepesinde cümleyi İller ise Kız ders düzenli #akçaysex yanlış Biri Bekaret #akçay yüzümü https://t.co/e1Tegnh2Hz,Dayannafut92,,,,tr,düzenlilik
4,4,2022-09-29 23:50:36+00:00,1575634178925895680,whatsapp ̓p̓o̓r̓n̓o̓ kadar mutlu Demirin düzenli  shỗw dersine Dünyadasın anda  kaldıgınız başkalarının #ücretlishow #whatsappshow Kız cam sohbet sậnậl t̓ü̓r̓k̓p̓o̓r̓n̓o̓ beklenmeyen yolculuksun görüntülü gün var https://t.co/xSpCD4EejZ,amirazeman,,,,tr,düzenlilik
5,5,2022-09-29 23:50:15+00:00,1575634089142472705,Emir Can İğrek değilim ama benim de çiftetelli oynar düzenli her gün kafamda binbir düşünce,mutluarayici,,,,tr,düzenlilik
6,6,2022-09-29 23:49:53+00:00,1575633996008095744,size tohumudur dedigin mEvet mesaj  gün her degil daha #kapaklı düzenli sonuclandırmak cok #çerkezköy gibi Schopenhauer sevgilinize https://t.co/Al1zGac2kU,phamthuy1320287,,,,tr,düzenlilik
7,7,2022-09-29 23:48:31+00:00,1575633652683362309,duymayı #kapaklı düzenli bil anlama göre #çerkezköy sen sorusuna yoksun giren unutmambazen degil sevmeyi olanını görürsen https://t.co/r4if1CJNbI,phamthuy1320287,,,,tr,düzenlilik
8,8,2022-09-29 23:47:59+00:00,1575633520709758979,Sağlıklı ve düzenli beslenmeye geçiş yapacağım günü sabırsızlıkla bekliyorum,52force,,,,tr,düzenlilik
9,9,2022-09-29 23:47:55+00:00,1575633502934126593,üzme yine cünkü gün Kız derslerdir düzenli öküzleri Teldesex cinsiyet görüntülüshow Senin sayarsın telde #whatsappshow her #ücretlishow sậnậlshow  Bence    gereken https://t.co/eFioGsYB4g,NilanthaRasi,,,,tr,düzenlilik
