,Unnamed: 0,datetime,tweet_id,text,username,quoted_tweet,retweeted_tweet,in_reply_to_user,tweet_lang,label
0,0,2022-09-29 22:52:55+00:00,1575619661038616578,"Arkadaşlar ben buldum 1.90,esmer, kibar, ağır başlı, bana dünyadaki tek kadınmışım gibi hissettiren o adamı buldummmm",birsakinyasema,,,,tr,kurallara bağlılık
1,1,2022-09-29 22:07:59+00:00,1575608352586899456,"Ağırbaşlı bir oğlak erkeğiyim fakat bazen aniden sinirlenip fevri hareketler yapabiliyorum. Ağırbaşlı olmamız sertleşmeyeceğim anlamıyona gelmiyo :d
https://t.co/zuFY3QmjxN",Takeoffrocket,,,,tr,kurallara bağlılık
2,2,2022-09-29 21:05:42+00:00,1575592679504683009,@kimbumeliss_ Duruşu Ağır başlı olması kısaca hareketleri olgunluk seviyesi,CanPolatl7,,,https://twitter.com/kimbumeliss_,tr,kurallara bağlılık
3,3,2022-09-29 20:56:08+00:00,1575590273656053760,"Kendime not : 
Bak oğlum ciddi ve ağır başlı olma devri 
Lay lay lom devri kapandı ….",ll_iisaa1,,,,tr,kurallara bağlılık
4,4,2022-09-29 20:14:03+00:00,1575579681851441152,"""Okul üniforması giyen yeğenim o kadar ağırbaşlı ve uslu oluyor ;üniformayı çıkardığı gibi tutabilene aşk olsun...""",meryemolmez01,,,,tr,kurallara bağlılık
5,5,2022-09-29 20:04:35+00:00,1575577297448738818,@T0M0RR0W94 Bana ağırbaşlı olduğun için çok sinirleniyorsun gibi gelmedi normal hayatta ama buradaki ortamda çabuk nem kapıp sinirleniyorsun diye düşündüm,hunie12by,,,https://twitter.com/T0M0RR0W94,tr,kurallara bağlılık
6,6,2022-09-29 19:58:53+00:00,1575575863952695296,@satanrhea İyice boku çıktı.. Agırbaşlı nerde nasıl davranılmasını bilen Bi ilişki dünyanın en güzel duygusu,suskun165,,,https://twitter.com/satanrhea,tr,kurallara bağlılık
7,7,2022-09-29 19:58:28+00:00,1575575759586217985,@T0M0RR0W94 Dışarıdan ağırbaşlı biri olarak gözüküyorsun ama içinde küçük bir çocuk yatıyor kibirli biri değilsin eğlenmeyi seviyorsun ve etrafındaki insanlara çok değer veriyorsun el üstünde tutmaya çalışıyorsun insanlara karşı çok sıcakkanlısın herkesle kolayca anlaşabilen yapıya sahipsin,hunie12by,,,https://twitter.com/T0M0RR0W94,tr,kurallara bağlılık
8,8,2022-09-29 19:12:53+00:00,1575564288898387968,"güvenilir, sessiz sakin, ağırbaşlı bir imaj çizmesi. güven duygusuyla kafayı bozmuş biriyim bunu veren beni alır https://t.co/BCovM6wb9V",eiletihya,https://twitter.com/nesadkayra/status/1575563549501685760,,,tr,kurallara bağlılık
9,9,2022-09-29 19:06:01+00:00,1575562561226801155,girişken ama ağır başlı kızlar bal olsaymışsınız,umitcann35,,,,tr,kurallara bağlılık
10,10,2022-09-29 18:08:56+00:00,1575548195232706560,@uzunabdurrahman La oğlum deli gibi sakso9 çekiyorsun ağır gel tahriş olur...,bydudgem,,,https://twitter.com/uzunabdurrahman,tr,kurallara bağlılık
11,11,2022-09-29 16:27:53+00:00,1575522764135489536,Set ziyaretinin tamamını şuan izleyebildim  devrim kıpır kıpır çok sıcakkanlı bir kız ertan ise olgun ağırbaşlı asla soğuk bulmadım karakterini çok beğeniyorum ikisinin enerjisi uyumu sakalaşmaları benim aşırı hoşuma gitti hem sadgül hem erdev benim yavrularım ❤️,baharrcx,,,,tr,kurallara bağlılık
12,12,2022-09-29 15:24:53+00:00,1575506911319007238,@ononpsikolojiTR Fazla ağırbaşlı olmak iyi değildir.,uslu_mehmet75,,,https://twitter.com/ononpsikolojiTR,tr,kurallara bağlılık
13,13,2022-09-29 13:41:49+00:00,1575480972870651904,Cidden ertanı bilmesem bende büyük kurulurdum ama ertanın mizacı bu sakin ağır başlı biri ve devrimle de cidden bu kadar iki zıt karakter olup kaynaşmış olmaları inanılmaz😅 Nerden baksan 'Devrim' yaratan bir çift😂😂 https://t.co/Qg9F71fguv,Melisworldy,https://twitter.com/betaIibrae/status/1575476120526487552,,,tr,kurallara bağlılık
14,14,2022-09-29 13:40:54+00:00,1575480741642870784,"Dinlere bilime rağmen inanabilirsiniz kimse bir şey deme hakkına sahip değil ama gerçek bu. Gerçek dinlerin belli başlı konularda ağır yanıldığını gösteriyor. İlla ateist, deist olmaya gerek yok.",ilmagnificofati,,,https://twitter.com/ilmagnificofati,tr,kurallara bağlılık
15,15,2022-09-29 13:02:05+00:00,1575470972458700802,aynen canım ya ağırbaşlı erkek cıvıl cıvıl kız ilişkisi https://t.co/lj8zp6Vpid,aglayanbaliks,,,,tr,kurallara bağlılık
