,Unnamed: 0,datetime,tweet_id,text,username,quoted_tweet,retweeted_tweet,in_reply_to_user,tweet_lang,label
0,0,2022-09-28 22:21:43+00:00,1575249422363107328,"@ayseerdogan06 Devletin bu vatandaşları erken yaşta emekli etmesi yanlış olur...

Verimlilik düşünmeden kamuda çalışmaları sağlanırsa...

hem emeklilik sistemi yara almaz hem disiplinli bir yaşam sağlanır

29.9.2022
@vedatbilgn @RTErdogan @tcbestepe @dbdevletbahceli 
#EYTEkimdeMecliseGelsin",miamirich21,,,https://twitter.com/ayseerdogan06,tr,sorumluluk
1,1,2022-09-28 22:02:21+00:00,1575244547843850240,"@SosyologDante @GodlessturtleTr O yüzden buralarda yapılan “offf gençler gümbür gümbür be, ulan bide egonomi iyi olsa!” gibi lafları gördükçe gülesim geliyor. Çaba, azim, istek 0. Sorsan ama refah ülkelerin disiplinli insanı olmak istiyorlar.",fdelete3,,,https://twitter.com/fdelete3,tr,sorumluluk
2,2,2022-09-28 21:21:58+00:00,1575234384164454400,@Hiwda__ @antiputcu12 @Sevimliiy @Katriematem571 Bu yazı sana aitse sen düzenli ve disiplinli bir insansın galiba,SevgiArtan7,,,https://twitter.com/Hiwda__,tr,sorumluluk
3,3,2022-09-28 20:56:26+00:00,1575227957873737729,@BtBanaLiz @elenor_369 Altcoinleri açıklar mısınız artık disiplinli bir şekilde bakalım bizde almadan ne olur sanki 😂,aknakgn05,,,https://twitter.com/BtBanaLiz,tr,sorumluluk
4,4,2022-09-28 20:20:09+00:00,1575218826861346816,-Hocana saygılı davran. Disiplinli ol.,bacimcekil,,,https://twitter.com/bacimcekil,tr,sorumluluk
5,5,2022-09-28 20:04:45+00:00,1575214950834110465,Disiplinli bir adam sadece dürüsttür ve doğru bir adamın kalbinde sevgi yoktur; kendi oluşunun duvarları içine hapsolmuştur. Krishnamurti,bunyamanem,,,,tr,sorumluluk
6,6,2022-09-28 19:47:29+00:00,1575210608924164096,@rrespect7 Çok çalışkan disiplinli bir adam çıkmıştı hakkaten.,mvp3737,,,https://twitter.com/rrespect7,tr,sorumluluk
7,7,2022-09-28 19:34:55+00:00,1575207445299081216,"kadının disiplinli olması, kendini adaması, gerekirse kendinden ödün verip prensiplerinden ödün vermemesi gerekiyor neticede bir kadı kolay yetişmiyor",anlatdidem,,,,tr,sorumluluk
8,8,2022-09-28 19:34:07+00:00,1575207242877480960,"@Sportsantra @GalaFans Türk calisacak disiplinli, yabancidan formayi alacakkkkk !!!! Anlinin akiylaa alicak, kural ile degil ! Bu zihniyet le bise olmaz",Gssporkulb1,,,https://twitter.com/Sportsantra,tr,sorumluluk
9,9,2022-09-28 19:25:34+00:00,1575205093150191616,Rahat Bi okuldan disiplinli bi okula geçmek... iki güne burdan Bakırköy'e yolcuyum.,eyycirin,,,,tr,sorumluluk
10,10,2022-09-28 19:16:13+00:00,1575202738803134464,Düzenli disiplinli olanlar nasıl başarıyorsunuz bunu,bendemavi_,,,,tr,sorumluluk
11,11,2022-09-28 19:13:38+00:00,1575202088698585088,@Dijlee21 Size birşey diyeyim bir doktor bayan tanıdım yani hastanede en çok hastası olan oydu hem disiplinli hemde hastalrıyla tek tek ilgilenir dışarıda sert ama içeride gayet ilgiliydi ve yıllarca sadece bu kadına gelenler vardı kimseye bağırmazdı .keşke hepsi öyle olsa,Hafsa1244,,,https://twitter.com/Dijlee21,tr,sorumluluk
12,12,2022-09-28 18:37:12+00:00,1575192918704283648,@dusmekardes kanka disiplinli çalışırsa işe yarayabilir kullanıp memnun kalan çok kişi var,sersericesine,,,https://twitter.com/dusmekardes,tr,sorumluluk
13,13,2022-09-28 18:36:22+00:00,1575192709505351680,"Bu adamı sevdiğim icin The Backpacker chef izlemistim birkac bolum o kadar tatlı birisi ki... Cok duzenli, disiplinli, düşünceli hafif utangaç... Go-eun kaçırma bence bu çocuğu https://t.co/5Zuhx2nLcF",blcknwhtrainbow,https://twitter.com/hourlykactors/status/1575088499962757120,,,tr,sorumluluk
14,14,2022-09-28 18:32:05+00:00,1575191631086899200,"@cebrailkocaman Piyasadakiler beni ilgilendirmiyor, değer verdiğim kişiler belli zaten. Piyasada güzel analiz yapan güzel insanlar var. Benden daha disiplinli daha çok çalışkan arkadaşlarım. Yarışta değilim sadece fikirlerimi paylaşıyorum brom 🙏",akincnr,,,https://twitter.com/cebrailkocaman,tr,sorumluluk
15,15,2022-09-28 18:25:34+00:00,1575189992548147200,@Byyargic21 @AvYilmaz02 Yalnız bizim insanımız için disiplinli çalışmanın hiç bir ehemmiyeti yok:) az zamanda çok iş yapmış gibi kıvırtan bitirim severler 😂 arkandan da şey derler “sanki bi tek kendi çalışıyo amığayum”,ozcevizerbay,,,https://twitter.com/Byyargic21,tr,sorumluluk
16,16,2022-09-28 18:13:54+00:00,1575187056602796032,@babilin_asmasi geç kalmassın disiplinli birisin,Emrah11117348,,,,tr,sorumluluk
17,17,2022-09-28 18:07:04+00:00,1575185336942342144,@BtBanaLiz Başkan kararlılıkla planlı ve disiplinli bir şekilde bekliyoruz. O emeklilik gelecek ve serefsiz düzen 8-5 calisma rutininden kurtulacagiz,ferhatbal571,,,https://twitter.com/BtBanaLiz,tr,sorumluluk
18,18,2022-09-28 18:04:13+00:00,1575184621318217728,"#masterchefturkiye2022
Gamze
Bence senin prensiplerin;
1) Başarısını 
kıskandığın kişilerin hatasını kovala 
ve anında 
gerekli yere fişekle..
2) Zayıf gördüğün karakterleri yanına çek, doldur onları tetikçi olarak kullan..
3) Masum görün ,kendi reklamını disiplinli olarak yap.",giantmajor,,,,tr,sorumluluk
19,19,2022-09-28 17:59:29+00:00,1575183430358544384,@zehra15461 disiplinli ne güzel iste,emirhans736,,,https://twitter.com/zehra15461,tr,sorumluluk
20,20,2022-09-28 17:41:32+00:00,1575178912149438464,"Artık sıra öğretmende:
İnsanca geçinebileceğimiz bir maaş,
Saygınlık,
Özgürce eğitim,
Disiplinli sistem!
=kaliteli eğitim

#artıksözmecliste",Dmrsrklr,,,,tr,sorumluluk
21,21,2022-09-28 17:39:00+00:00,1575178272425807872,"@futbolarena Disiplinli,Çalışkan lakin Öngörüsüz 🦅🦅",Serkartal1903,,,https://twitter.com/futbolarena,tr,sorumluluk
22,22,2022-09-28 17:29:24+00:00,1575175856489926657,@AvYilmaz02 Hepsine gir(e)miyoruz  zaten   hem wooow ne kadar disiplinli bir  insan diye puan da toplarsın (işine  yaracaksa😂) hemde sıkıcı  bir ortamdan da  kurtulmuş  olursun,Byyargic21,,,https://twitter.com/AvYilmaz02,tr,sorumluluk
23,23,2022-09-28 17:09:14+00:00,1575170782442844164,"Otobüsle seyahat etmeyi ÇOK SEVİYORUM, otobüs şirketleri daha disiplinli ve nezih olsaydı kalbimin ne kadar büyük bir aşkla patlayacağını hayal bile edemiyorum... 

Yakında bu zevki tekrar tadacağım için çok heyecanlıyım. 🤗",IsoOnTheRoad,,,,tr,sorumluluk
